#{"t_start": 1753906013.745462, "env_id": "None"}
r,l,t
509.440223,50,331.587857
460.565207,50,331.682852
684.219435,50,331.784856
306.413212,50,331.889853
344.40566,50,331.988858
737.490171,50,332.079862
549.968628,50,332.170864
531.612758,50,332.260861
425.725974,50,332.362859
450.193401,50,332.465855
558.390959,50,332.555862
574.674064,50,332.647853
456.664151,50,332.740856
420.912385,50,332.831854
450.593352,50,332.941857
659.528914,50,333.059856
403.155608,50,333.153867
521.98144,50,333.248856
451.827833,50,333.342855
457.969875,50,333.430862
731.890154,50,333.520888
721.900426,50,333.613914
362.028175,50,333.72188
601.901087,50,333.821883
419.380734,50,333.949884
428.663596,50,337.075881
360.53094,50,337.162879
618.871755,50,337.254884
807.396492,50,337.355884
414.599354,50,337.450882
321.504321,50,337.536883
679.791963,50,337.626889
546.836604,50,337.720884
484.681949,50,337.810882
584.950996,50,337.906881
414.971562,50,338.005881
907.141665,50,338.095882
396.296196,50,338.188885
464.605081,50,338.277882
437.194074,50,338.370888
443.69525,50,338.462882
492.153699,50,338.554879
460.305537,50,338.64988
455.226924,50,338.750881
529.145411,50,338.839881
225.136608,50,338.925881
532.477836,50,339.019916
399.216956,50,339.109911
362.561837,50,339.20388
523.186295,50,339.297885
394.71143,50,339.39088
503.952094,50,339.476888
155.686668,50,339.564881
575.797647,50,339.65789
386.881795,50,339.755889
379.722465,50,339.846887
480.087304,50,339.938884
375.378775,50,340.03988
628.330866,50,340.139879
187.598311,50,340.23288
369.76697,50,340.324882
483.497185,50,340.420883
283.809911,50,340.514884
282.788122,50,340.600883
397.769992,50,340.696883
516.967805,50,340.805884
428.257042,50,343.911882
748.149522,50,344.010884
454.792609,50,344.106881
566.674914,50,344.199893
495.577384,50,344.296882
508.677549,50,344.389884
233.269945,50,344.498888
580.435661,50,344.613882
542.144835,50,344.739882
647.329019,50,344.894882
551.577952,50,345.010885
586.264637,50,345.110882
826.272621,50,345.238882
502.606289,50,345.442878
596.050301,50,345.569881
437.716421,50,345.67488
737.587515,50,345.78988
326.104175,50,345.961884
177.424678,50,346.130878
77.843931,50,346.242881
395.198375,50,346.455884
538.509013,50,346.678881
592.022857,50,346.834881
491.398824,50,346.966908
377.124175,50,347.174881
518.787636,50,347.291883
303.275158,50,347.410885
709.503119,50,347.525883
415.557897,50,347.633888
922.074179,50,347.741879
489.533522,50,347.839881
393.402652,50,347.94488
625.029283,50,348.042881
523.928452,50,348.140882
350.655448,50,348.241881
367.848748,50,348.33988
408.893615,50,348.44988
536.980648,50,348.549882
388.556717,50,348.642883
361.512177,50,348.739884
547.79656,50,348.836889
361.263653,50,352.017882
673.618579,50,352.605881
377.753938,50,353.406903
444.486314,50,353.630882
719.246525,50,354.693883
334.816077,50,354.862885
543.133457,50,355.061881
372.063889,50,355.167878
379.221096,50,355.484514
547.736772,50,355.623519
366.757235,50,355.741515
214.346136,50,355.873511
589.404075,50,356.007512
575.587008,50,356.139512
459.471952,50,356.280509
304.703651,50,356.385507
419.497962,50,356.476512
204.833874,50,356.574509
526.998497,50,356.704508
691.822003,50,356.907511
393.019365,50,357.101509
308.763642,50,357.199511
499.599832,50,357.298511
406.381528,50,357.406509
363.152523,50,357.519506
391.777393,50,357.620513
787.647537,50,357.768511
330.095506,50,357.964509
591.792168,50,358.22351
497.037839,50,358.359509
340.021485,50,358.477512
462.519352,50,358.581508
521.709452,50,358.674511
539.586137,50,358.77151
184.033816,50,358.861513
362.024275,50,358.951507
248.590962,50,359.057515
451.883902,50,359.183511
544.584868,50,359.422517
858.892921,50,359.649512
802.387442,50,359.890512
357.308517,50,364.468511
769.856989,50,364.569512
421.904407,50,364.880512
636.90458,50,365.210516
745.898244,50,365.316509
408.30421,50,365.421545
700.211433,50,365.624047
471.050901,50,365.745046
540.093635,50,365.83705
382.050619,50,365.93104
293.368675,50,366.025044
633.162791,50,366.118043
744.49913,50,366.233043
329.40265,50,366.363048
634.873985,50,366.480041
517.037682,50,366.591043
642.768299,50,366.689046
428.139733,50,366.782041
294.17085,50,366.880043
351.569555,50,366.975045
407.426124,50,367.071043
480.808496,50,367.166051
780.24184,50,367.267043
215.97961,50,367.380045
634.616882,50,367.484051
759.15347,50,367.57705
659.831775,50,367.669044
536.742763,50,367.765041
576.254212,50,367.861046
526.026083,50,367.955043
392.11688,50,368.046042
727.081253,50,368.138056
594.099306,50,368.22805
376.532435,50,368.315041
557.962083,50,368.410049
240.043006,50,368.498042
404.431928,50,368.595046
584.235295,50,368.685046
473.569945,50,368.777043
453.966771,50,368.872045
482.198127,50,368.965042
528.744139,50,372.123042
727.938973,50,372.212044
397.001336,50,372.311043
755.73391,50,372.406043
659.651925,50,372.505042
433.618863,50,372.602041
503.340699,50,372.693049
513.018415,50,372.787051
518.363371,50,372.883043
628.213568,50,372.975047
521.060844,50,373.080043
347.76012,50,373.216044
247.645964,50,373.433045
402.524794,50,373.588045
525.409815,50,373.744044
458.946532,50,373.883045
331.178583,50,374.007046
576.064358,50,374.154047
279.474147,50,374.270043
632.269605,50,374.524048
484.910231,50,374.715042
448.452115,50,374.827048
344.443801,50,375.024042
452.290537,50,375.123051
